SEX,INSR_BEGIN,INSR_END,EFFECTIVE_YR,INSR_TYPE,INSURED_VALUE,PREMIUM,OBJECT_ID,PROD_YEAR,SEATS_NUM,CARRYING_CAPACITY,TYPE_VEHICLE,CCM_TON,MAKE,USAGE,CLAIM_PAID
0,14-Nov-11,13-Nov-12,7,1202,312120,3975.92,5000020439,2000,4,7,Pick-up,2779,TOYOTA,Own Goods,41500
0,08-Aug-13,07-Aug-14,1,1202,300000,6572.65,5000020463,1997,44,0,Bus,5861,FIAT,Own service,
0,08-Aug-12,07-Aug-13,1,1202,300000,6567.65,5000020463,1997,44,0,Bus,5861,FIAT,Own service,8341.97
0,08-Aug-11,07-Aug-12,1,1202,300000,5966.963,5000020463,1997,44,0,Bus,5861,FIAT,Own service,
0,08-Jul-11,07-Aug-11,1,1202,300000,235.23,5000020463,1997,44,0,Bus,5861,FIAT,Own service,
0,01-Jan-14,31-Dec-14,5,1202,120000,1853.68,5000018754,2003,4,6,Pick-up,2499,ISUZU,Own Goods,13800
0,01-Jan-13,31-Dec-13,5,1202,100000,1295.37,5000018754,2003,4,6,Pick-up,2499,ISUZU,Own Goods,
0,01-Jan-12,31-Dec-12,5,1202,100000,1356.98,5000018754,2003,4,6,Pick-up,2499,ISUZU,Own Goods,
0,08-Jul-13,07-Jul-14,11,1201,400000,5636.85,5000019927,2006,4,,Automobile,1584,MITSUBISHI,Private,
0,08-Jul-12,07-Jul-13,11,1201,270000,4015.24,5000019927,2006,4,,Automobile,1584,MITSUBISHI,Private,
0,07-Aug-11,06-Jul-12,11,1201,270000,3482.82,5000019927,2006,4,,Automobile,1584,MITSUBISHI,Private,
0,08-Jul-11,07-Aug-11,1,1201,270000,186.94,5000019927,2006,4,,Automobile,1584,MITSUBISHI,Private,
0,08-Jul-13,07-Jul-14,11,1201,400000,5636.85,5000019929,2006,4,,Automobile,1548,MITSUBISHI,Private,
0,08-Jul-12,07-Jul-13,11,1201,270000,4015.24,5000019929,2006,4,,Automobile,1548,MITSUBISHI,Private,
0,07-Aug-11,06-Jul-12,11,1201,270000,3482.82,5000019929,2006,4,,Automobile,1548,MITSUBISHI,Private,
0,08-Jul-11,07-Aug-11,1,1201,270000,186.94,5000019929,2006,4,,Automobile,1548,MITSUBISHI,Private,
0,08-Jul-13,07-Jul-14,11,1201,400000,5636.85,5000019933,2006,4,,Automobile,1584,MITSUBISHI,Private,
0,08-Jul-12,07-Jul-13,11,1201,270000,4015.24,5000019933,2006,4,,Automobile,1584,MITSUBISHI,Private,
0,07-Aug-11,06-Jul-12,11,1201,270000,3482.82,5000019933,2006,4,,Automobile,1584,MITSUBISHI,Private,
0,08-Jul-11,07-Aug-11,1,1201,270000,186.94,5000019933,2006,4,,Automobile,1584,MITSUBISHI,Private,
0,01-Jan-12,31-Dec-12,79,1202,400000,5405.8,5000018756,2009,34,0,Bus,5675,TATA,Own service,
0,13-Nov-13,12-Nov-14,11,1202,0,1732.43,5000018799,1993,11,11,Bus,2446,TOYOTA,Own service,
0,29-Oct-12,28-Oct-13,11,1202,0,1722.43,5000018799,1993,11,11,Bus,2446,TOYOTA,Own service,
0,29-Oct-11,28-Oct-12,11,1202,0,1722.18,5000018799,1993,11,11,Bus,2446,TOYOTA,Own service,
0,08-Aug-12,07-Aug-13,7,1201,400000,5815.05,5000020029,2001,4,,Automobile,4164,VOLVO,Private,
0,08-Aug-11,07-Aug-12,7,1201,400000,5672.966,5000020029,2001,4,,Automobile,4164,VOLVO,Private,
0,08-Jul-11,07-Aug-11,7,1201,400000,252.31,5000020029,2001,4,,Automobile,4164,VOLVO,Private,
0,08-Jul-13,07-Jul-14,11,1201,190000,3039.73,5000020064,1991,4,225.5,Automobile,1587,TOYOTA,Private,
0,08-Jul-12,07-Jul-13,11,1201,190000,3039.48,5000020064,1991,4,225.5,Automobile,1587,TOYOTA,Private,
0,08-Aug-11,07-Jul-12,11,1201,90000,1422.38,5000020064,1991,4,225.5,Automobile,1587,TOYOTA,Private,
0,08-Jul-11,07-Aug-11,1,1201,90000,69.64,5000020064,1991,4,225.5,Automobile,1587,TOYOTA,Private,
1,13-Mar-13,12-Mar-14,11,1201,30000,1698.41,5000020076,1989,4,,Automobile,1971,PEUGEOT,Private,
1,13-Mar-12,12-Mar-13,11,1201,30000,914.13,5000020076,1989,4,,Automobile,1971,PEUGEOT,Private,
1,10-Dec-11,12-Mar-12,11,1201,30000,202.625,5000020076,1989,4,,Automobile,1971,PEUGEOT,Private,
0,08-Sep-13,07-Sep-14,11,1202,0,1655.59,5000020566,2000,7,7,Bus,2295,MERCEEDES,Own service,
0,08-Sep-12,07-Sep-13,11,1202,0,1655.59,5000020566,2000,7,7,Bus,2295,MERCEEDES,Own service,
0,08-Sep-11,07-Sep-12,11,1202,0,1260.165,5000020566,2000,7,7,Bus,2295,MERCEEDES,Own service,
1,08-Nov-11,07-Nov-12,11,1202,1880000,28366.81,5000020496,2006,1,180,Truck,13789,IVECO,General Cartage,
1,06-Mar-13,05-Mar-14,39,1202,0,682.75,5000020516,1992,2,10,Pick-up,3470,TOYOTA,Own Goods,
1,28-Feb-12,27-Feb-13,39,1202,0,682.5,5000020516,1992,2,10,Pick-up,3470,TOYOTA,Own Goods,
0,08-Jul-11,07-Aug-11,1,1202,100000,85.36,5000020516,1992,2,10,Pick-up,3470,TOYOTA,Own Goods,
0,08-Aug-13,07-Aug-14,3,1202,370305,6872.49,5000020542,2002,29,5,Bus,3908,IVECO,Own service,
0,08-Aug-12,07-Aug-13,3,1202,370305,6872.49,5000020542,2002,29,5,Bus,3908,IVECO,Own service,
0,08-Aug-11,07-Aug-12,3,1202,370305,6483.973,5000020542,2002,29,5,Bus,3908,IVECO,Own service,
0,08-Jul-11,07-Aug-11,3,1202,370305,174.71,5000020542,2002,29,5,Bus,3908,IVECO,Own service,
0,08-Aug-13,07-Aug-14,3,1202,429765,7548.08,5000020553,2007,26,5,Bus,4214,MITSUBISHI,Own service,7699.99
0,08-Aug-12,07-Aug-13,3,1202,429765,7548.08,5000020553,2007,26,5,Bus,4214,MITSUBISHI,Own service,
0,08-Aug-11,07-Aug-12,3,1202,429765,7170.959,5000020553,2007,26,5,Bus,4214,MITSUBISHI,Own service,
0,08-Jul-11,07-Aug-11,3,1202,429765,202.76,5000020553,2007,26,5,Bus,4214,MITSUBISHI,Own service,
0,08-Jul-13,07-Jul-14,11,1201,220000,3413.89,5000020119,1990,4,,Automobile,1586,TOYOTA,Private,
0,08-Jul-12,07-Jul-13,11,1201,220000,3139.51,5000020119,1990,4,,Automobile,1586,TOYOTA,Private,
0,08-Aug-11,07-Jul-12,11,1201,90000,1448.901,5000020119,1990,4,,Automobile,1586,TOYOTA,Private,
0,08-Jul-11,07-Aug-11,1,1201,90000,69.64,5000020119,1990,4,,Automobile,1586,TOYOTA,Private,
1,26-Jan-14,25-Jan-15,4,1201,450000,3074.31,5000020148,2002,4,,Automobile,1598,RENAULT,Private,
1,26-Jan-13,25-Jan-14,4,1201,450000,3036.65,5000020148,2002,4,,Automobile,1598,RENAULT,Private,
1,26-Jan-12,25-Jan-13,4,1201,400000,3262.73,5000020148,2002,4,,Automobile,1598,RENAULT,Private,
1,04-Oct-11,25-Jan-12,4,1201,400000,201.789,5000020148,2002,4,,Automobile,1598,RENAULT,Private,
0,08-Jul-13,07-Jul-14,11,1202,420000,5959.99,5000020151,2007,2,10,Pick-up,4164,TOYOTA,Own Goods,
0,08-Jul-12,07-Jul-13,11,1202,305781.44,4535.46,5000020151,2007,2,10,Pick-up,4164,TOYOTA,Own Goods,22783.59
0,08-Aug-11,07-Jul-12,11,1202,305781.44,4039.788,5000020151,2007,2,10,Pick-up,4164,TOYOTA,Own Goods,13302.17
0,08-Jul-11,07-Aug-11,11,1202,305781.44,170.03,5000020151,2007,2,10,Pick-up,4164,TOYOTA,Own Goods,
1,22-Dec-13,21-Dec-14,11,1201,0,541.95,5000020179,2003,4,,Automobile,1299,TOYOTA,Private,
1,21-Dec-12,20-Dec-13,11,1201,0,541.95,5000020179,2003,4,,Automobile,1299,TOYOTA,Private,
1,21-Dec-11,20-Dec-12,11,1201,0,541.7,5000020179,2003,4,,Automobile,1299,TOYOTA,Private,
2,31-Jan-14,25-Jan-15,18,1201,199087.4,1560.783,5000020686,1995,4,,Station Wagones,1998,TOYOTA,Private,
2,26-Jan-13,25-Jan-14,18,1201,199087.4,1696.33,5000020686,1995,4,,Station Wagones,1998,TOYOTA,Private,
2,26-Jan-12,25-Jan-13,18,1201,199087.4,1566.44,5000020686,1995,4,,Station Wagones,1998,TOYOTA,Private,
1,12-Jan-14,25-Dec-14,55,1201,0,517.145,5000020692,1981,4,,Automobile,1290,TOYOTA,Private,
1,16-Feb-13,25-Jan-14,55,1201,50000,716.466,5000020692,1981,4,,Automobile,1290,TOYOTA,Private,
1,18-Feb-12,24-Jan-13,55,1201,50000,709.14,5000020692,1981,4,,Automobile,1290,TOYOTA,Private,
1,04-Oct-11,25-Jan-12,5B,1201,50000,201.789,5000020692,1981,4,,Automobile,1290,TOYOTA,Private,
1,14-Feb-14,25-Jan-15,53,1201,0,829.531,5000020697,1982,4,,Automobile,1290,TOYOTA,Private,
